product_title,rating,transaction_id,date,channel,region,customer_id,quantity,price,revenue
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,78,2025-07-21,Online,Europe,19533,2,44.22632465410967,88.45264930821934
Reasons to Stay Alive,Two,79,2023-07-04,Mobile,Europe,24980,4,21.358402591175032,85.43361036470013
On a Midnight Clear,Three,80,2022-06-06,Store,Europe,10547,2,13.90023499891879,27.80046999783758
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,81,2022-12-27,Mobile,Asia,22297,5,20.976456652771574,104.88228326385787
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,82,2019-08-21,Online,US,42066,3,38.23798333666234,114.71395000998702
Reasons to Stay Alive,Two,83,2020-07-08,Mobile,US,13244,4,23.71400773768632,94.85603095074528
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,84,2024-09-26,Store,US,36226,5,18.939410233713765,94.69705116856883
It's Only the Himalayas,Two,85,2020-03-20,Mobile,Asia,34770,4,46.51140050971879,186.04560203887516
"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,86,2024-02-25,Store,US,39170,2,22.807521787206998,45.615043574413995
Sharp Objects,Four,87,2020-12-31,Store,Europe,32476,1,56.48701069761366,56.48701069761366
The Black Maria,One,88,2022-08-26,Mobile,Europe,41750,2,56.43593411749743,112.87186823499486
On a Midnight Clear,Three,89,2020-05-21,Store,US,47681,1,15.090644382125332,15.090644382125332
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,90,2021-11-05,Online,Europe,16805,3,25.642462504994207,76.92738751498263
Olio,One,91,2021-01-24,Online,Europe,22917,4,22.231200087279596,88.92480034911839
Birdsong: A Story in Pictures,Three,92,2022-05-19,Online,Europe,41487,4,45.67265012788013,182.69060051152053
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,93,2022-11-01,Mobile,US,11852,4,17.56786470835423,70.27145883341692
A Light in the Attic,Three,94,2021-01-01,Online,US,23305,2,50.732118068836186,101.46423613767237
Tipping the Velvet,One,95,2024-12-02,Mobile,US,21958,1,64.45898583773071,64.45898583773071
The Torch Is Passed: A Harding Family Story,One,96,2024-12-26,Online,Europe,47130,4,21.75862907678838,87.03451630715352
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,97,2022-08-18,Online,Asia,39999,4,56.27366502966202,225.09466011864808
Unicorn Tracks,Three,98,2022-03-22,Mobile,Asia,20437,5,17.957238390869,89.78619195434501
Set Me Free,Five,99,2019-06-12,Store,Asia,32407,3,16.314835219434332,48.944505658303
The Elephant Tree,Five,100,2022-11-29,Online,Asia,40917,5,24.59554202858457,122.97771014292286
Sharp Objects,Four,101,2021-03-26,Mobile,Asia,44778,4,51.87362008270097,207.49448033080387
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,102,2023-12-26,Online,US,49427,5,28.31063121182194,141.55315605910968
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,103,2019-01-27,Online,US,33582,3,19.957855142736197,59.87356542820859
"We Love You, Charlie Freeman",Five,104,2025-03-12,Online,Asia,26665,1,57.18264992305558,57.18264992305558
The Secret of Dreadwillow Carse,One,105,2022-04-09,Mobile,Asia,38816,1,58.29285390705869,58.29285390705869
This One Summer,Four,106,2022-09-01,Mobile,Europe,10660,1,21.82504013262636,21.82504013262636
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,107,2025-06-03,Online,Asia,30549,5,20.772553425153696,103.86276712576847
"Layered: Baking, Building, and Styling Spectacular Cakes",One,108,2024-07-28,Mobile,US,40056,5,43.62296662223654,218.1148331111827
The Murder That Never Was (Forensic Instincts #5),Three,109,2020-07-02,Online,Europe,41292,3,64.26969519018438,192.80908557055312
The Natural History of Us (The Fine Art of Pretending #2),Three,110,2019-09-23,Store,Europe,40306,5,46.21649205352228,231.0824602676114
"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,111,2019-08-04,Mobile,Asia,34484,3,28.2064118564573,84.61923556937191
Patience,Three,112,2023-03-17,Store,Europe,31530,3,9.475021542793053,28.42506462837916
Tipping the Velvet,One,113,2025-10-24,Mobile,Asia,21831,4,53.56709548128707,214.26838192514828
The Death of Humanity: and the Case for Life,Four,114,2024-10-03,Online,US,31109,2,66.35179555602127,132.70359111204255
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,115,2023-05-25,Store,Europe,20702,5,66.82793363710542,334.13966818552706
The Past Never Ends,Four,116,2023-08-09,Store,US,23503,1,46.800361089386584,46.800361089386584
Private Paris (Private #10),Five,117,2023-06-03,Store,US,17278,4,46.92273875941555,187.6909550376622
Penny Maybe,Three,118,2025-04-18,Store,Europe,38089,2,29.066623867972215,58.13324773594443
Sapiens: A Brief History of Humankind,Five,119,2023-05-19,Online,US,12487,4,51.61680063022483,206.46720252089932
Unicorn Tracks,Three,120,2020-07-28,Store,Europe,11011,3,21.24541414110019,63.736242423300574
Libertarianism for Beginners,Two,121,2024-12-25,Online,Europe,29758,2,54.369963590786796,108.73992718157359
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,122,2023-10-29,Mobile,Asia,17824,4,36.92090467049315,147.6836186819726
Masks and Shadows,Two,123,2020-02-03,Store,Europe,16310,5,49.260466123157485,246.3023306157874
Black Dust,Five,124,2019-06-25,Mobile,US,14547,3,40.85706223730418,122.57118671191253
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,125,2019-05-07,Mobile,Europe,47867,3,17.153163762549617,51.45949128764885
The Electric Pencil: Drawings from Inside State Hospital No. 3,One,126,2024-02-12,Mobile,Asia,47537,5,54.54626224332198,272.7313112166099
Sophie's World,Five,127,2024-04-26,Mobile,Asia,28622,4,17.254728372600194,69.01891349040078
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,128,2025-03-18,Mobile,US,46454,3,22.21717886209339,66.65153658628017
Private Paris (Private #10),Five,129,2020-04-25,Store,Europe,19033,5,39.04447117957523,195.22235589787616
"We Love You, Charlie Freeman",Five,130,2024-07-25,Store,US,41812,4,53.50048120996548,214.0019248398619
The Death of Humanity: and the Case for Life,Four,131,2020-01-02,Mobile,US,15361,2,65.85677873593205,131.7135574718641
Sapiens: A Brief History of Humankind,Five,132,2021-05-27,Online,Europe,43312,5,59.91534622507184,299.57673112535923
Sophie's World,Five,133,2020-01-01,Mobile,Asia,36598,3,13.349996621522019,40.04998986456606
The Secret of Dreadwillow Carse,One,134,2022-04-06,Store,Europe,48341,2,62.20986564829142,124.41973129658284
"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,135,2021-06-10,Store,US,22428,1,28.62064679419106,28.62064679419106
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,136,2019-07-28,Mobile,Asia,34492,1,13.641028108503363,13.641028108503363
The Requiem Red,One,137,2025-03-01,Online,US,33678,1,24.33313968397644,24.33313968397644
In Her Wake,One,138,2020-07-29,Mobile,Asia,14884,2,13.60230714298373,27.20461428596746
Masks and Shadows,Two,139,2019-07-16,Store,Europe,20582,2,49.88213818269744,99.76427636539488
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,140,2020-11-30,Store,US,34927,2,18.049204985683243,36.098409971366486
My Paris Kitchen: Recipes and Stories,Two,141,2025-04-19,Store,Asia,28301,5,33.568468543565665,167.84234271782833
The Nameless City (The Nameless City #1),Four,142,2023-09-19,Online,Europe,49508,1,38.89945649969793,38.89945649969793
The Torch Is Passed: A Harding Family Story,One,143,2024-07-06,Online,US,41139,5,18.70264805682779,93.51324028413896
"We Love You, Charlie Freeman",Five,144,2020-01-26,Online,Asia,45317,2,53.9437348926158,107.8874697852316
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Five,145,2024-02-11,Online,Europe,24588,4,42.364513565354855,169.45805426141942
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,146,2021-11-17,Mobile,Asia,18586,4,52.97587684163328,211.90350736653312
Untitled Collection: Sabbath Poems 2014,Four,147,2021-08-03,Mobile,US,13297,1,14.02086383285327,14.02086383285327
Private Paris (Private #10),Five,148,2019-10-25,Online,Europe,46600,4,39.64828688651156,158.59314754604625
The Elephant Tree,Five,149,2023-11-11,Mobile,US,49496,3,20.50224051692036,61.50672155076108
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,150,2022-11-21,Mobile,Europe,12916,4,20.98126978242814,83.92507912971256
Slow States of Collapse: Poems,Three,151,2021-01-05,Online,US,29040,2,62.647035650668116,125.29407130133623
Wall and Piece,Four,152,2022-08-07,Online,Asia,22494,5,37.578508608109104,187.89254304054552
Libertarianism for Beginners,Two,153,2021-10-08,Online,Asia,45150,3,53.323280117642796,159.96984035292837
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,154,2022-10-15,Store,Europe,37955,4,53.94942582225308,215.79770328901233
The Past Never Ends,Four,155,2024-04-09,Store,US,11011,4,67.7349653618117,270.9398614472468
The Requiem Red,One,156,2022-04-13,Mobile,Asia,42242,2,26.41689687571339,52.83379375142678
Olio,One,157,2024-05-10,Store,Europe,40387,1,27.189365885736155,27.189365885736155
The Torch Is Passed: A Harding Family Story,One,158,2020-02-21,Store,Asia,46575,1,17.738089174581802,17.738089174581802
The Nameless City (The Nameless City #1),Four,159,2024-02-12,Mobile,Asia,24255,3,31.1212677829774,93.36380334893221
Reasons to Stay Alive,Two,160,2019-05-07,Store,Europe,13117,5,30.991892636938953,154.95946318469476
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,161,2022-11-15,Online,Europe,11855,3,14.896902520074134,44.6907075602224
The Elephant Tree,Five,162,2023-06-22,Mobile,US,34166,4,26.958015318600147,107.83206127440059
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,163,2019-02-11,Store,Asia,13201,1,28.44499622605333,28.44499622605333
The Dirty Little Secrets of Getting Your Dream Job,Four,164,2023-08-03,Store,Europe,36090,1,38.93428189806072,38.93428189806072
Behind Closed Doors,Four,165,2022-04-11,Mobile,Asia,24803,3,42.58274087043242,127.74822261129725
The Natural History of Us (The Fine Art of Pretending #2),Three,166,2023-11-24,Mobile,US,30262,2,36.67495884281631,73.34991768563262
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,167,2024-09-20,Mobile,Asia,36745,3,14.612045925070275,43.83613777521082
The Torch Is Passed: A Harding Family Story,One,168,2020-09-09,Store,Asia,43809,3,16.143492749146287,48.430478247438856
Sharp Objects,Four,169,2024-10-05,Online,Europe,49735,4,46.701747338711826,186.8069893548473
The Natural History of Us (The Fine Art of Pretending #2),Three,170,2022-05-15,Online,US,46859,3,49.735482456703465,149.2064473701104
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,171,2023-05-23,Store,US,17172,2,63.209813262852535,126.41962652570507
Tipping the Velvet,One,172,2020-10-17,Store,Europe,30961,4,47.65308500284981,190.61234001139923
It's Only the Himalayas,Two,173,2019-11-13,Mobile,Asia,42751,4,50.22845826316526,200.91383305266103
Shakespeare's Sonnets,Four,174,2021-07-27,Online,US,15507,2,18.620356871446205,37.24071374289241
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,175,2021-08-07,Mobile,Europe,16527,2,34.14177237521062,68.28354475042124
In the Country We Love: My Family Divided,Four,176,2023-08-19,Mobile,Europe,45448,4,24.059457754249813,96.23783101699925
The Requiem Red,One,177,2021-06-09,Online,US,38266,3,22.361731006623053,67.08519301986917
Join,Five,178,2020-10-21,Online,Europe,14825,4,29.928450791220488,119.71380316488195
Obsidian (Lux #1),Two,179,2019-07-03,Store,US,35093,1,15.886721932538626,15.886721932538626
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,180,2021-01-13,Store,Asia,47766,3,49.858041106119565,149.5741233183587
The Murder That Never Was (Forensic Instincts #5),Three,181,2024-06-25,Online,US,40123,4,48.30528509061814,193.22114036247257
"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,182,2022-07-05,Store,Europe,29711,2,21.345677757856294,42.69135551571259
The Nameless City (The Nameless City #1),Four,183,2024-09-09,Online,Asia,38028,4,45.74705625100354,182.98822500401417
The Electric Pencil: Drawings from Inside State Hospital No. 3,One,184,2020-04-04,Store,Asia,39989,2,59.060075614819716,118.12015122963943
"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,185,2024-02-05,Mobile,US,19283,3,21.228121187350887,63.68436356205266
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,186,2024-03-22,Mobile,Europe,25722,1,48.46452935613223,48.46452935613223
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,187,2025-02-07,Mobile,Europe,20440,3,14.14924091098362,42.44772273295086
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,188,2021-11-15,Online,Europe,19767,4,25.058393593565402,100.23357437426161
On a Midnight Clear,Three,189,2022-01-02,Mobile,US,12974,1,16.181718437397652,16.181718437397652
The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,190,2019-10-21,Online,Europe,15567,4,37.70544432353348,150.8217772941339
Soul Reader,Two,191,2020-01-06,Online,Europe,31364,1,35.01978014910298,35.01978014910298
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,192,2021-10-30,Online,US,23925,3,51.175404411788534,153.52621323536562
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,193,2023-06-16,Store,Europe,39677,2,47.19893171069984,94.39786342139968
Shakespeare's Sonnets,Four,194,2019-03-13,Store,Europe,12554,2,21.534037243853835,43.06807448770767
My Paris Kitchen: Recipes and Stories,Two,195,2021-05-21,Store,Europe,31666,2,33.94997135765162,67.89994271530324
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Five,196,2023-07-16,Online,Asia,22528,1,42.65157000934584,42.65157000934584
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,197,2025-02-14,Store,Europe,40974,4,11.662521861929841,46.650087447719365
Online Marketing for Busy Authors: A Step-By-Step Guide,One,198,2023-03-16,Online,Europe,24679,2,52.5309090514033,105.0618181028066
Reskilling America: Learning to Labor in the Twenty-First Century,Two,199,2023-09-07,Store,Asia,14256,2,23.636882137742244,47.27376427548449
Penny Maybe,Three,200,2020-03-30,Store,Europe,40902,5,28.10681353508476,140.5340676754238
A Light in the Attic,Three,201,2024-10-30,Store,Asia,44162,2,42.169305705218534,84.33861141043707
Unicorn Tracks,Three,202,2023-02-13,Online,US,21066,1,15.791031336948814,15.791031336948814
"Pop Gun War, Volume 1: Gift",One,203,2023-12-19,Mobile,Asia,48650,3,17.994455952266385,53.983367856799156
"Layered: Baking, Building, and Styling Spectacular Cakes",One,204,2020-12-01,Online,Asia,39900,1,44.208143038730405,44.208143038730405
The Requiem Red,One,205,2021-02-24,Store,Europe,37534,1,18.21767306503274,18.21767306503274
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,206,2025-06-23,Mobile,Europe,30519,1,22.97052628697155,22.97052628697155
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,207,2023-12-12,Store,Asia,17261,2,22.15660995980799,44.31321991961598
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,208,2019-07-17,Store,US,10684,4,36.90185186250303,147.60740745001212
On a Midnight Clear,Three,209,2022-02-02,Mobile,Europe,15571,1,16.820958590791182,16.820958590791182
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,210,2025-04-23,Online,Europe,20781,5,36.37138902137824,181.8569451068912
Soumission,One,211,2024-03-28,Online,Asia,40334,1,54.06780006652272,54.06780006652272
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,212,2025-08-26,Online,Europe,13348,5,43.81699498221859,219.08497491109296
orange: The Complete Collection 1 (orange: The Complete Collection #1),One,213,2025-08-21,Mobile,Europe,17985,2,55.46181895779322,110.92363791558644
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,214,2022-04-29,Store,Asia,13521,5,41.63470394687406,208.1735197343703
The Murder That Never Was (Forensic Instincts #5),Three,215,2024-12-28,Store,US,19363,3,52.6999139557873,158.0997418673619
Aladdin and His Wonderful Lamp,Three,216,2025-12-08,Online,Asia,33531,5,53.33724128577004,266.6862064288502
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,217,2024-01-05,Mobile,Asia,12313,3,27.838171620363127,83.51451486108938
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,218,2020-10-31,Online,US,48213,1,13.701186820485784,13.701186820485784
A Light in the Attic,Three,219,2021-05-10,Online,Europe,48201,3,58.272013171972574,174.81603951591774
Unicorn Tracks,Three,220,2023-09-25,Store,US,29658,5,16.68755996290039,83.43779981450196
"We Love You, Charlie Freeman",Five,221,2020-01-27,Online,Asia,39470,2,49.17249082740636,98.34498165481271
Sophie's World,Five,222,2020-06-02,Store,US,49660,1,17.726193268827473,17.726193268827473
The Dirty Little Secrets of Getting Your Dream Job,Four,223,2024-07-06,Mobile,Asia,29920,2,36.471688064538604,72.94337612907721
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,224,2023-06-14,Mobile,US,22468,5,49.14898967687428,245.7449483843714
